Store Number,Profile Key,Phone,Address,Lat,Lng,Store Hours,Pharmacy Hours,Clinic Hours,Services
10996,walgreens-429-brookline-ave-boston-ma-02215,(866) 287-1515,"429 Brookline Ave, Joslin Diabetes Center,Boston, MA 02215",42.339098,-71.108429,,M  F: 8:00AM-7:00PM Sat:      CLOSED       Sun:       CLOSED       ,,"Online ordering, Medication Compounding, HIV Medication Support"
11140,walgreens-1329-e.-university-blvd.-takoma-park-md-20912,(301) 445-8159,"1329 E. University Blvd.,Takoma Park, MD 20912",38.987963,-76.986339,Open 24 Hours,Open 24 Hours,,"Open 24 hours, Digital photo pickup, Pharmacy drive-thru, Online ordering"
11580,walgreens-1215-dunn-ave-ste-2-jacksonville-fl-32218,(904) 751-1517,"1215 Dunn Ave Ste 2, Family Care Clinic,Jacksonville, FL 32218",30.4686832,-81.6692532,,M  F: 8:00AM-6:00PM Sat:      CLOSED       Sun:       CLOSED       ,,"Online ordering, Medication Compounding"
11583,walgreens-1000-w-broadway-st-ste101-oviedo-fl-32765,(407) 366-7007,"1000 W Broadway St Ste101, Oviedo Medical Center,Oviedo, FL 32765",28.669997,-81.2081203,,M  F: 8:00AM-6:00PM Sat:      CLOSED       Sun:       CLOSED       ,,"Online ordering, Medication Compounding"
12762,walgreens-130-prison-st-lahaina-hi-96761,(808) 661-4747,"130 Prison St, Maui Medical Group,Lahaina, HI 96761",20.8783333,-156.6825,,M  F: 8:00AM-5:00PM Sat: 8:00AM-12:00PM Sun:       CLOSED       ,,Online ordering
12763,walgreens-2180-main-st-%23102-wailuku-hi-96793,(808) 244-7252,"2180 Main St #102, Maui Medical Group,Wailuku, HI 96793",20.8911111,-156.5047222,,M  F: 8:00AM-7:00PM Sat: 8:00AM-12:00PM Sun: 8:00AM-12:00PM,,Online ordering
13072,walgreens-8333-n-davis-hwy-pensacola-fl-32514,(850) 494-2432,"8333 N Davis Hwy, Medical Center Clinic,Pensacola, FL 32514",30.487333,-87.222614,,M  F: 8:30AM-6:00PM Sat:      CLOSED       Sun:       CLOSED       ,,Online ordering
13106,walgreens-11801-s.-ave-o-chicago-il-60617,(773) 731-2147,"11801 S. Ave O,Chicago, IL 60617",41.6809035,-87.5400651,M F: 8:00AM-10:00PM Sat: 8:00AM-10:00PM Sun: 8:00AM-10:00PM,M  F: 8:00AM-10:00PM Sat: 9:00AM-6:00PM Sun: 10:00AM-6:00PM,,"Pharmacy drive-thru, Online ordering"
13577,walgreens-4341-di-paolo-center-glenview-il-60025,(847) 824-6073,"4341 Di Paolo Center,Glenview, IL 60025",42.0673092,-87.8619482,,M  F: 8:00AM-5:00PM Sat:      CLOSED       Sun:       CLOSED       ,,Online ordering
13583,walgreens-901-hyde-st-san-francisco-ca-94109,(415) 409-4230,"901 Hyde St, Saint Francis Memorial Hospital,San Francisco, CA 94109",37.7929789,-122.4212424,,M  F: 9:00AM-6:00PM Sat:      CLOSED       Sun:       CLOSED       ,,"Immunizations, Online ordering, Shingles Vaccine"
13600,walgreens-110-century-blvd-west-palm-beach-fl-33417,(561) 697-9670,"110 Century Blvd,West Palm Beach, FL 33417",26.7149621,-80.1204978,,M  F: 8:30AM-5:00PM Sat: 10:00AM-5:00PM Sun: 10:00AM-2:00PM,,Online ordering
13803,walgreens-675-main-st-woburn-ma-01801,(781) 933-1850,"675 Main St,Woburn, MA 01801",42.4917492,-71.1540475,,M  F: 8:30AM-7:30PM Sat: 8:30AM-5:00PM Sun: 9:00AM-2:00PM,,Online ordering
13883,walgreens-19-north-main-st-sherborn-ma-01770,(508) 653-7770,"19 North Main St,Sherborn, MA 01770",42.245585,-71.369792,,M  F: 8:00AM-8:00PM Sat: 8:00AM-6:00PM Sun: 9:00AM-3:00PM,,Online ordering
13944,walgreens-60-temple-st-new-haven-ct-06519,(203) 777-7758,"60 Temple St, Temple Medical Center,New Haven, CT 06519",41.2967231,-72.9431038,,M  F: 9:00AM-5:00PM Sat:      CLOSED       Sun:       CLOSED       ,,"Digital photo pickup, Online ordering"
13946,walgreens-150-sargent-dr-new-haven-ct-06519,(203) 777-7878,"150 Sargent Dr,New Haven, CT 06519",41.2918989,-72.9217134,,M  F: 9:00AM-6:00PM Sat: 9:00AM-12:00PM Sun:       CLOSED       ,,"Digital photo pickup, Online ordering"
